"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-196.45399,-10.2255,5.0233302,-21.467899,0.022193734,-0.2071428,-0.015070993
-234.657,-7.8081298,3.1241,-20.0266,0.021095218,-0.2071428,-0.01152244
-264.87399,-4.97228,0.67352003,-18.204901,0.019918179,-0.2071428,-0.0079816142
-288.16901,-2.4758201,-1.59527,-16.4625,0.018675251,-0.2071428,-0.0044516237
-304.88199,-0.089283198,-3.5332,-14.8904,0.017372776,-0.2071428,-0.00093526923
-114.019,-12.0642,7.1558199,-25.626499,0.027304014,-0.2071428,-0.016195852
-148.591,-8.8695402,6.6040101,-24.9785,0.026470445,-0.2071428,-0.012678482
-183.36501,-6.5580902,5.7771502,-24.0693,0.025513895,-0.2071428,-0.0091747846
-210.298,-3.8329401,4.6001902,-22.856001,0.024455667,-0.20714281,-0.005688393
-232.724,-1.31472,3.4068301,-21.504601,0.023311319,-0.2071428,-0.0022212393
-249.474,1.18776,2.3057799,-20.1108,0.022088904,-0.2071428,0.0012246035
-45.7906,-9.7848997,7.0961699,-27.7355,0.031265065,-0.20714281,-0.013551977
-67.1175,-6.6784902,7.1338501,-27.456499,0.030614721,-0.2071428,-0.010102015
-96.313499,-4.3073001,6.97475,-26.933201,0.029814158,-0.20714281,-0.0066769687
-120.753,-1.76741,6.7266698,-26.3381,0.028888764,-0.20714281,-0.0032788063
-142.436,0.71619803,6.43995,-25.561899,0.02785702,-0.2071428,9.1714028e-05
-159.621,3.2102201,6.1682301,-24.694,0.02672869,-0.2071428,0.0034332478
1025.39,-5.6840601,-4.7739801,-20.381001,0.13148545,-0.2071428,-0.046658434
969.85199,-7.99156,-4.6595602,-24.3032,0.1217391,-0.2071428,-0.043152571
915.59601,-7.7202301,-3.2121699,-24.150299,0.11199267,-0.20714281,-0.039646704
858.047,-7.8246899,2.8070099,-23.473499,0.10224614,-0.20714281,-0.036140837
800.52197,-8.3842497,5.1332998,-23.2789,0.092499457,-0.20714281,-0.03263497
