NU,X,Y,Ux,Uy
0.06,0.045,0.015,-0.0670949,0.00664693
0.06,0.049999999999999996,0.015,-0.0703241,0.00229874
0.06,0.05499999999999999,0.015,-0.0703438,-0.00224315
0.06,0.05999999999999999,0.015,-0.0671476,-0.00661066
0.06,0.06499999999999999,0.015,-0.0609807,-0.0104334
0.06,0.06999999999999999,0.015,-0.0523383,-0.0133448
0.06,0.075,0.015,-0.0419559,-0.0149995
0.06,0.08,0.015,-0.0307821,-0.0151081
0.06,0.085,0.015,-0.0199095,-0.0134984
0.06,0.09000000000000001,0.015,-0.0104681,-0.0102064
0.06,0.09500000000000001,0.015,-0.00362653,-0.00563727
0.06,0.10000000000000002,0.015,-0.000504016,-0.00101398
0.06,0.005,0.02,-0.000907264,0.00338272
0.06,0.01,0.02,-0.00562471,0.0121119
0.06,0.015,0.02,-0.0152235,0.01992
0.06,0.02,0.02,-0.0278991,0.0253261
0.06,0.025,0.02,-0.0420757,0.0278022
0.06,0.030000000000000002,0.02,-0.0563796,0.0273307
0.06,0.035,0.02,-0.0695209,0.0242071
0.06,0.04,0.02,-0.0803921,0.018912
0.06,0.045,0.02,-0.0881366,0.0120212
0.06,0.049999999999999996,0.02,-0.092173,0.00415357
0.06,0.05499999999999999,0.02,-0.0922038,-0.00405369
0.06,0.05999999999999999,0.02,-0.0882205,-0.0119544
0.06,0.06499999999999999,0.02,-0.0805056,-0.0188999
0.06,0.06999999999999999,0.02,-0.0696331,-0.0242516
0.06,0.075,0.02,-0.0564617,-0.0274125
0.06,0.08,0.02,-0.042111,-0.0278865
0.06,0.085,0.02,-0.0278893,-0.0253763
0.06,0.09000000000000001,0.02,-0.015189,-0.0199153
0.06,0.09500000000000001,0.02,-0.00559372,-0.0120633
0.06,0.10000000000000002,0.02,-0.00089618,-0.00334033
0.06,0.005,0.025,-0.00125561,0.00673224
0.06,0.01,0.025,-0.00747771,0.0208187
0.06,0.015,0.025,-0.0197784,0.0325546
0.06,0.02,0.025,-0.0356348,0.0403413
0.06,0.025,0.025,-0.0530158,0.0436269
